ballotID,1,2,Age,Gender,Education,weight
391000XXXX,c3,,2,2,3,113.86577022767615
731000XXXX,c2,c3,1,2,2,106.88040065874031
981000XXXX,c1,c3,2,2,1,124.22858242183463
101100XXXX,c1,c3,2,1,3,144.50718560156307
112100XXXX,c3,c2,2,2,3,113.86577022767615
115100XXXX,c3,,2,2,3,81.08895406876053
154100XXXX,c2,c3,2,2,3,82.90309113337113
168100XXXX,c4,,1,2,3,1.041742569
150200XXXX,c2,,2,2,2,92.33845925236682
207577XXXX,c3,c4,2,1,3,132.4527872022443
207465XXXX,c4,,2,1,3,0.582630106
207557XXXX,c4,,1,1,3,1.336749921
207299XXXX,c1,c2,1,2,2,119.77509987931384
207299XXXX,c1,,1,2,2,124.22858242183463
207447XXXX,c1,,2,2,3,88.46878033573347
207944XXXX,c4,,2,2,3,0.808040376
207299XXXX,c4,,1,1,3,1.336749921
207478XXXX,c4,,1,1,3,1.336749921
207322XXXX,c4,,2,1,2,0.582630106
207205XXXX,c1,,2,2,3,98.53759077566413
207469XXXX,c4,,2,1,3,1.336749921
207598XXXX,c4,,2,2,1,1.134656882
207263XXXX,c2,,2,1,3,97.30556983271394
207778XXXX,c3,,2,2,3,89.76750035727052
207225XXXX,c1,c3,2,2,2,88.46878033573347
207262XXXX,c1,c3,2,2,1,97.93715261959144
207364XXXX,c4,,2,2,3,0.808040376
207524XXXX,c3,,2,2,2,81.08895406876053
207525XXXX,c2,c1,2,2,2,92.33845925236682
207943XXXX,c3,c1,2,2,3,90.31785158709576
207455XXXX,c3,,2,2,1,89.76750035727052
207345XXXX,c4,,2,2,1,0.894520907
207348XXXX,c3,,2,2,3,90.31785158709576
207375XXXX,c4,,2,2,3,0.900005082
207453XXXX,c1,,2,2,1,98.53759077566413
207537XXXX,c4,,2,2,1,0.894520907
207585XXXX,c4,,2,2,3,0.894520907
207667XXXX,c2,,2,2,3,82.90309113337113
207786XXXX,c1,,2,2,3,98.53759077566413
207933XXXX,c3,,2,1,1,58.46844700803797
207223XXXX,c3,c1,2,1,3,132.4527872022443
207246XXXX,c4,,2,1,2,0.948418547
207255XXXX,c4,,2,1,3,0.948418547
207546XXXX,c2,,2,1,3,59.77651390871053
207795XXXX,c3,,2,1,1,58.46844700803797
231000XXXX,c1,c3,1,1,2,148.10861118183834
601000XXXX,c2,,1,1,1,137.14747903041626
971000XXXX,c2,c1,2,1,2,135.41604543308569
103100XXXX,c2,,1,2,2,106.88040065874031
138100XXXX,c2,,2,2,3,116.41319628012344
141100XXXX,c1,c2,1,1,1,60.53002437779138
412000XXXX,c2,c1,1,2,2,112.23988827607546
432000XXXX,c3,c2,2,1,2,132.4527872022443
962000XXXX,c1,c4,1,1,1,146.35485878834112
207754XXXX,c3,c2,2,1,2,132.4527872022443
207491XXXX,c3,c1,2,1,2,132.4527872022443
