ballotID,1,2,3,Gender,Age ,Education,weight
391000XXXX,3,7,,2,52,3,1.134656882
731000XXXX,7,,,2,29,2,1.041742569
981000XXXX,7,,,2,53,1,1.134656882
101100XXXX,7,,,1,63,3,1.319873973
112100XXXX,7,,,2,52,3,1.134656882
115100XXXX,3,7,,2,66,3,0.808040376
154100XXXX,7,,,2,65,3,0.808040376
168100XXXX,7,,,2,34,3,1.041742569
150200XXXX,3,7,,2,56,2,0.900005082
207577XXXX,7,,,1,59,3,1.319873973
207465XXXX,7,,,1,77,3,0.582630106
207557XXXX,7,,,1,49,3,1.336749921
207299XXXX,3,7,,2,35,2,1.093980457
207299XXXX,3,7,,2,48,2,1.134656882
207447XXXX,7,,,2,71,3,0.808040376
207944XXXX,7,,,2,66,3,0.808040376
207299XXXX,7,,,1,49,3,1.336749921
207478XXXX,4,7,,1,45,3,1.336749921
207322XXXX,5,7,,1,75,2,0.582630106
207205XXXX,2,7,,2,61,3,0.900005082
207469XXXX,4,7,,1,52,3,1.336749921
207598XXXX,7,,,2,50,1,1.134656882
207263XXXX,2,7,,1,65,3,0.948418547
207778XXXX,2,1,,2,85,3,0.894520907
207225XXXX,3,7,,2,72,2,0.808040376
207262XXXX,3,7,,2,79,1,0.894520907
207364XXXX,3,7,,2,67,3,0.808040376
207524XXXX,3,7,,2,70,2,0.808040376
207525XXXX,4,7,,2,59,2,0.900005082
207943XXXX,5,,,2,60,3,0.900005082
207455XXXX,6,3,,2,89,1,0.894520907
207345XXXX,7,,,2,78,1,0.894520907
207348XXXX,7,,,2,59,3,0.900005082
207375XXXX,7,,,2,63,3,0.900005082
207453XXXX,7,,,2,62,1,0.900005082
207537XXXX,7,,,2,77,1,0.894520907
207585XXXX,7,,,2,91,3,0.894520907
207667XXXX,7,,,2,71,3,0.808040376
207786XXXX,7,,,2,58,3,0.900005082
207933XXXX,3,7,,1,75,1,0.582630106
207223XXXX,7,,,1,64,3,1.319873973
207246XXXX,7,,,1,68,2,0.948418547
207255XXXX,7,,,1,72,3,0.948418547
207546XXXX,7,,,1,76,3,0.582630106
207795XXXX,7,,,1,89,1,0.582630106
231000XXXX,5,3,1,1,44,2,1.352768032
601000XXXX,3,6,1,1,45,1,1.336749921
971000XXXX,3,4,1,1,60,2,1.319873973
103100XXXX,3,4,1,2,32,2,1.041742569
138100XXXX,2,4,1,2,51,3,1.134656882
141100XXXX,6,3,1,1,19,1,0.552858347
412000XXXX,3,5,1,2,42,2,1.093980457
432000XXXX,3,4,1,1,64,2,1.319873973
962000XXXX,3,2,1,1,48,1,1.336749921
207754XXXX,3,2,1,1,63,2,1.319873973
207491XXXX,3,4,1,1,58,2,1.319873973
207478XXXX,2,3,1,1,65,2,0.948418547
207667XXXX,3,2,1,2,69,1,0.808040376
207483XXXX,3,4,1,2,78,1,0.894520907
207539XXXX,5,3,1,2,80,1,0.894520907
207562XXXX,3,4,1,1,61,3,1.319873973
207288XXXX,4,2,1,1,72,2,0.948418547
207532XXXX,4,3,1,1,82,3,0.582630106
207876XXXX,6,3,1,1,41,3,1.352768032
207318XXXX,1,5,2,2,48,3,1.134656882
207478XXXX,1,4,2,1,49,3,1.336749921
207327XXXX,1,3,2,2,69,2,0.808040376
207521XXXX,1,3,2,2,64,3,0.900005082
207668XXXX,3,4,2,2,77,3,0.894520907
207778XXXX,3,1,2,1,79,3,0.582630106
207474XXXX,5,1,2,1,71,1,0.948418547
207726XXXX,5,3,2,1,73,2,0.948418547
631000XXXX,1,4,3,2,58,3,0.900005082
161100XXXX,5,1,3,2,61,2,0.900005082
169100XXXX,5,1,3,2,30,2,1.041742569
154200XXXX,2,1,3,1,30,3,1.703992006
