PersonID,age,age_cat,borough,candidate_AndrewYang,candidate_DianneMorales,candidate_EricAdams,candidate_KathrynGarcia,candidate_MayaWiley,candidate_RayMcGuire,candidate_ScottStringer,candidate_ShaunDonovan,candidate_overvote,education,gender,ideo_self_id,impact_of_rcv_exp,method,most_important_issue,other,party_reg,race,rank_limit,rcv_difficulty,rcv_familiarity,registered,right_track,vote_intent,weight
939,1,35-54,Bronx,3,,,,1,,,2,,"Some college, but no degree",Male,Very liberal or progressive,Much more likely,Vote by absentee ballot,Police reform,,The Democratic party,Hispanic,5,Very easy,Moderately familiar,Yes,Not sure,I have already voted,0.872989131
788,2,65+,Staten Island,,,,2,,3,1,4,,Graduate or professional degree,Male,Very liberal or progressive,No change,Vote early in-person,Crime,,The Democratic party,White,5,Very easy,Very familiar,Yes,Right direction,I have already voted,0.476154424
465,1,35-54,Brooklyn,,,,,,,,,,Vocational or technical school,Female,Moderate,Somewhat less likely,Vote by absentee ballot,COVID-19/coronavirus,1.0,The Democratic party,AAPI,5,Hard,Not too familiar,Yes,Right direction,I have already voted,1.539831033
978,1,18-34,Manhattan,,1,,,,,,,,Not sure,Male,Very liberal or progressive,Much less likely,Vote early in-person,Crime,,The Democratic party,Black,5,Easy,Not too familiar,Yes,Wrong track,I have already voted,0.775880104
385,2,65+,Queens,,,1,2,,4,3,5,,"Some college, but no degree",Female,Moderate,Much more likely,Vote early in-person,Crime,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Right direction,I have already voted,1.36353972
411,1,18-34,Brooklyn,2,,3,1,,4,,5,,Graduate or professional degree,Male,Somewhat liberal or progressive,No change,Vote early in-person,Crime,,The Democratic party,Hispanic,5,Easy,Very familiar,Yes,Wrong track,I have already voted,0.91466987
708,2,55-64,Manhattan,3,5,4,1,,,,2,,Four-year college graduate (bachelors degree),Female,Moderate,Somewhat more likely,Vote by absentee ballot,Crime,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Wrong track,I have already voted,0.814504638
590,2,65+,Manhattan,,,3,1,,,2,,,"Some college, but no degree",Male,Somewhat liberal or progressive,Much more likely,Vote early in-person,COVID-19/coronavirus,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Not sure,I have already voted,1.116700144
328,2,55-64,Brooklyn,5,3,4,2,1,,,,,"Some college, but no degree",Male,Very liberal or progressive,No change,Vote early in-person,Homelessness,,The Democratic party,Hispanic,5,Very easy,Moderately familiar,Yes,Wrong track,I have already voted,1.12584112
921,2,65+,Bronx,,,1,,4,2,5,3,,"Some college, but no degree",Female,Moderate,Somewhat less likely,Vote early in-person,Police reform,,The Democratic party,Black,5,Easy,Moderately familiar,Yes,Not sure,I have already voted,1.189190989
260,2,65+,Brooklyn,3,,1,,,2,,,,"Some college, but no degree",Male,Very liberal or progressive,No change,Vote early in-person,Crime,,The Democratic party,Black,5,Easy,Very familiar,Yes,Not sure,I have already voted,1.323497272
646,2,55-64,Manhattan,,,1,,2,,3,,,Graduate or professional degree,Female,Somewhat conservative,Somewhat more likely,Vote early in-person,Homelessness,,The Democratic party,Black,5,Very easy,Moderately familiar,Yes,Wrong track,I have already voted,0.903887786
801,2,65+,Staten Island,,5,1,3,2,,4,,,"Some college, but no degree",Male,Very liberal or progressive,Much more likely,Vote early in-person,Police reform,,The Democratic party,White,5,Hard,Moderately familiar,Yes,Right direction,I have already voted,0.697623358
758,1,35-54,Queens,1,,3,,4,5,,2,,Four-year college graduate (bachelors degree),Female,Moderate,Somewhat less likely,Vote by absentee ballot,Crime,,The Democratic party,AAPI,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.250286676
366,1,35-54,Brooklyn,4,,,2,1,,3,,,Four-year college graduate (bachelors degree),Male,Somewhat liberal or progressive,Somewhat more likely,Vote early in-person,Housing,4.0,The Democratic party,White,5,Hard,Very familiar,Yes,Right direction,I have already voted,0.719736132
289,1,18-34,Manhattan,5,,2,3,1,,,4,,"Some college, but no degree",Male,Somewhat conservative,Much more likely,Vote early in-person,Jobs,,The Democratic party,AAPI,5,Easy,Moderately familiar,Yes,Right direction,I have already voted,1.897518571
918,2,65+,Bronx,3,,1,,,,,2,,Associates or other two-year degree,Male,Somewhat liberal or progressive,No change,Vote early in-person,Jobs,,The Democratic party,Black,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.13741182
728,2,65+,Queens,4,,2,1,,3,,,,Graduate or professional degree,Female,Somewhat conservative,No change,Vote by absentee ballot,Education/Schools,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Wrong track,I have already voted,0.93066762
746,1,35-54,Queens,2,,1,4,,,3,5,,Four-year college graduate (bachelors degree),Male,Moderate,No change,Vote early in-person,Crime,,The Democratic party,AAPI,5,Not sure,Moderately familiar,Yes,Not sure,I have already voted,1.195847309
298,1,35-54,Queens,1,2,3,,,,5,4,,"Some college, but no degree",Female,Very conservative,Much less likely,Vote by absentee ballot,Crime,,The Democratic party,Black,5,Not sure,Very familiar,Yes,Wrong track,I have already voted,1.395475124
926,1,35-54,Bronx,,,1,,,,,,,High school graduate,Male,Very conservative,Somewhat more likely,Vote by absentee ballot,Homelessness,,The Democratic party,Black,5,Easy,Not too familiar,Yes,Wrong track,I have already voted,1.005685382
635,2,65+,Manhattan,4,,1,2,,3,,5,,Four-year college graduate (bachelors degree),Female,Somewhat conservative,No change,Vote by absentee ballot,Crime,,The Democratic party,White,5,Easy,Very familiar,Yes,Right direction,I have already voted,0.831163004
254,2,55-64,Queens,,2,,5,1,,3,4,,"Some college, but no degree",Male,Very liberal or progressive,Much more likely,Vote by absentee ballot,Healthcare,,The Democratic party,White,5,Very easy,Not too familiar,Yes,Wrong track,I have already voted,1.278030677
261,2,65+,Brooklyn,1,,2,,3,,,,,Associates or other two-year degree,Female,Somewhat liberal or progressive,No change,Vote by absentee ballot,Housing,,The Democratic party,White,5,Very easy,Very familiar,Yes,Not sure,I have already voted,1.195492946
464,1,35-54,Brooklyn,,1,,5,4,3,2,,,Four-year college graduate (bachelors degree),Male,Moderate,Much less likely,Vote early in-person,Crime,,The Democratic party,Black,5,Very Hard,Very familiar,Yes,Right direction,I have already voted,0.83307329
857,2,65+,Staten Island,5,4,,2,1,,,3,,"Some college, but no degree",Male,Very liberal or progressive,Somewhat less likely,Vote by absentee ballot,Police reform,,The Democratic party,White,5,Hard,Moderately familiar,Yes,Wrong track,I have already voted,0.697623358
680,1,35-54,Manhattan,,,4,3,1,2,,5,,"Some college, but no degree",Male,Very liberal or progressive,Much less likely,Vote early in-person,Police reform,,The Democratic party,Black,5,Very Hard,Not too familiar,Yes,Right direction,I have already voted,1.142854329
477,1,35-54,Brooklyn,,1,,5,4,3,2,,,"Some college, but no degree",Male,Very liberal or progressive,Much less likely,Vote early in-person,Crime,,The Democratic party,White,5,Very Hard,Not familiar at all,Yes,Right direction,I have already voted,1.011014876
808,2,65+,Staten Island,,,2,1,,,,3,,Graduate or professional degree,Male,Somewhat conservative,Much less likely,Vote early in-person,Transportation,,The Democratic party,White,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,0.476154424
615,2,55-64,Manhattan,,,1,,,,,,,Four-year college graduate (bachelors degree),Female,Moderate,No change,Vote by absentee ballot,Crime,,The Democratic party,White,5,Easy,Very familiar,Yes,Wrong track,I have already voted,0.814504638
251,2,65+,Manhattan,,,4,1,,5,2,3,,Graduate or professional degree,Female,Very liberal or progressive,Much more likely,Vote early in-person,Housing,,The Democratic party,White,5,Easy,Not too familiar,Yes,Wrong track,I have already voted,0.796887942
494,2,65+,Brooklyn,,,5,4,1,,2,3,,Four-year college graduate (bachelors degree),Male,Somewhat liberal or progressive,No change,Vote by absentee ballot,Crime,,The Democratic party,White,5,Easy,Moderately familiar,Yes,Not sure,I have already voted,0.814008434
619,2,55-64,Manhattan,2,,5,3,4,,1,,,High school graduate,Female,Very liberal or progressive,Much more likely,Vote by absentee ballot,Crime,,The Democratic party,Hispanic,5,Very easy,Very familiar,Yes,Right direction,I have already voted,1.149567311
732,1,35-54,Queens,2,,1,3,,4,,,,Graduate or professional degree,Male,Moderate,No change,Vote early in-person,Crime,,The Democratic party,AAPI,5,Easy,Very familiar,Yes,Wrong track,I have already voted,1.146533587
268,2,55-64,Manhattan,1,,,,3,,,2,,Graduate or professional degree,Female,Moderate,Much more likely,Vote by absentee ballot,Homelessness,,The Democratic party,AAPI,5,Very easy,Very familiar,Yes,Wrong track,I have already voted,1.137591301
