response_id,registered,party_reg,vote_intent,vote_method,right_track,rcv_familiarity,issue_focus,ccd_member,rcv_likelihood,rcv_difficulty,ideo_self_id,education,education_rollup,age,gender,ud,race_new,weight,1,2,3,4,5
R_1Y8rOwf3hqdA013,Yes,The Republican party,I have already voted,early in person,Right direction,Moderately familiar,Transportation,Steven Matteo (City Council District 50),No change,Easy,Moderate,Graduate or professional degree,Graduate,35-54,Female,392270528,white,0.970098948,pirozzolo,,,,
R_3PmJ6JGrKpSRaCK,Yes,The Republican party,I have already voted,early in person,Wrong track,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Moderate,Graduate or professional degree,Graduate,35-54,Male,392330544,other,0.336120283,carr,sforza,,,
R_2Bs5Q5ws8cGZdEU,Yes,The Republican party,I have already voted,early in person,Right direction,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Not sure,Somewhat conservative,Associates or other two-year degree,Less than college,35-54,Male,444813615,white,0.980282045,kepi,,,,
R_1CeFsU1M1724N9H,Yes,The Republican party,I have already voted,early in person,Right direction,Moderately familiar,Homelessness,Steven Matteo (City Council District 50),Somewhat more likely,Easy,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,65+,Female,392494771,white,1.91809925,carr,,,,
R_3fk11QKCDeYw510,Yes,The Republican party,I have already voted,early in person,Wrong track,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Very easy,Somewhat conservative,Four-year college graduate (bachelors degree),Bachelors,65+,Female,392501034,white,1.91809925,carr,pirozzolo,kepi,sforza,hafizi
R_2YfhUQc4hRyOGb3,Yes,The Republican party,I have already voted,early in person,Right direction,Very familiar,Police reform,Steven Matteo (City Council District 50),Much less likely,Easy,Somewhat conservative,Graduate or professional degree,Graduate,35-54,Female,392281556,white,0.970098948,carr,pirozzolo,hafizi,sforza,kepi
R_8IFxRXZpnKZFNrr,Yes,The Republican party,I have already voted,early in person,Right direction,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Very easy,Somewhat conservative,"Some college, but no degree",Less than college,35-54,Female,392933972,white,1.222508072,pirozzolo,kepi,hafizi,carr,sforza
R_1dhw0iFvlzVpzAO,Yes,The Republican party,I have already voted,early in person,Not sure,Not too familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Associates or other two-year degree,Less than college,65+,Female,392451831,white,1.774099873,pirozzolo,carr,,,
R_3EGRt5ZYpnmUMUc,Yes,The Republican party,I have already voted,absentee,Not sure,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Associates or other two-year degree,Less than college,35-54,Female,392183355,white,1.222508072,carr,,,,
R_6Y8TnConvRXedyx,Yes,The Republican party,I have already voted,early in person,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Hard,Very conservative,Associates or other two-year degree,Less than college,35-54,Female,392340059,white,1.222508072,pirozzolo,,,,
R_QcCdFBSUKQe4NRn,Yes,The Republican party,I have already voted,early in person,Right direction,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392390651,white,1.059849158,carr,hafizi,sforza,,
R_1OTcvy26JhKxqkk,Yes,The Republican party,I have already voted,early in person,Wrong track,Not too familiar,Something else (please specify),Steven Matteo (City Council District 50),No change,Very easy,Very conservative,Four-year college graduate (bachelors degree),Bachelors,55-64,Male,392196337,white,0.884796881,carr,,,,
R_2Yx3WAejnjBYtg2,Yes,The Republican party,I have already voted,early in person,Wrong track,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Four-year college graduate (bachelors degree),Bachelors,35-54,Female,392153931,white,1.321736082,carr,kepi,hafizi,,
R_3EgonOpP6218U2d,Yes,The Republican party,I have already voted,early in person,Right direction,Not familiar at all,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Graduate or professional degree,Graduate,65+,Male,392382357,white,1.128864138,pirozzolo,hafizi,kepi,sforza,carr
R_2AEXxT913Ko4ZjU,Yes,The Republican party,I have already voted,early in person,Right direction,Moderately familiar,Jobs,Steven Matteo (City Council District 50),No change,Easy,Very conservative,Graduate or professional degree,Graduate,35-54,Male,392103973,white,0.77788491,pirozzolo,sforza,kepi,carr,hafizi
R_3g0moz4MFZSM7bT,Yes,The Republican party,I have already voted,early in person,Not sure,Very familiar,Something else (please specify),Steven Matteo (City Council District 50),Much less likely,Very easy,Very conservative,High school graduate,Less than college,65+,Female,393013510,white,1.774099873,hafizi,pirozzolo,carr,kepi,
R_2QglxNkJvJJa2q9,Yes,The Republican party,I have already voted,early in person,Right direction,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Very easy,Very conservative,"Some college, but no degree",Less than college,65+,Male,392885835,white,1.422582225,pirozzolo,,,,
R_2X7B50pgMqu9e8u,Yes,The Republican party,I have already voted,early in person,Wrong track,Very familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Very conservative,"Some college, but no degree",Less than college,65+,Male,392322363,white,1.422582225,sforza,,,,
R_ZDbe8r5aH9YNppD,Yes,The Republican party,I will definitely vote,not sure,Wrong track,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Moderate,Associates or other two-year degree,Less than college,55-64,Male,392243889,white,0.818371643,kepi,,,,
R_qC0ekeo4C11Ax2x,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Moderate,Associates or other two-year degree,Less than college,35-54,Male,392712957,white,0.980282045,sforza,kepi,hafizi,pirozzolo,carr
R_3fN4zlgiveHrdoB,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Very familiar,Jobs,Steven Matteo (City Council District 50),No change,Very easy,Moderate,Four-year college graduate (bachelors degree),Bachelors,65+,Male,392226710,white,1.538049768,carr,,,,
R_25zJgSouARIfara,Yes,The Republican party,I will definitely vote,early in person,Wrong track,Very familiar,Jobs,Steven Matteo (City Council District 50),No change,Very easy,Moderate,Four-year college graduate (bachelors degree),Bachelors,65+,Male,392226710,white,1.538049768,carr,,,,
R_zewjgAFj6VMbHdn,Yes,The Republican party,I will definitely vote,early in person,Wrong track,Moderately familiar,Something else (please specify),Steven Matteo (City Council District 50),Much more likely,Hard,Moderate,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392468969,white,1.059849158,,,,,
R_1rBpiskv7LnPZmu,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not familiar at all,Something else (please specify),Steven Matteo (City Council District 50),No change,Very Hard,Moderate,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392152019,white,1.059849158,kepi,carr,hafizi,pirozzolo,sforza
R_Z9Ic82555F6Crlv,Yes,The Republican party,I will definitely vote,early in person,Right direction,Moderately familiar,Transportation,Steven Matteo (City Council District 50),No change,Very easy,Moderate,Four-year college graduate (bachelors degree),Bachelors,55-64,Female,392469465,white,1.103428686,kepi,pirozzolo,sforza,carr,hafizi
R_2zSEV4othE7znwE,Yes,The Republican party,I will definitely vote,absentee,Right direction,Moderately familiar,Crime,Steven Matteo (City Council District 50),Somewhat more likely,Easy,Moderate,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392565488,white,1.059849158,carr,pirozzolo,hafizi,sforza,kepi
R_XNDYU6oBK0nNyNz,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Not too familiar,Transportation,Steven Matteo (City Council District 50),No change,Easy,Moderate,Four-year college graduate (bachelors degree),Bachelors,35-54,Male,392494274,white,1.059849158,hafizi,cc_other,pirozzolo,kepi,carr
R_1hWhbBmTALFGThn,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not familiar at all,Crime,Steven Matteo (City Council District 50),No change,Easy,Moderate,Four-year college graduate (bachelors degree),Bachelors,55-64,Female,392152610,white,1.103428686,pirozzolo,kepi,hafizi,,
R_3wV9142ETqoeLBL,Yes,The Republican party,I will definitely vote,in person on election day,Wrong track,Very familiar,Crime,Steven Matteo (City Council District 50),Somewhat more likely,Very easy,Moderate,Graduate or professional degree,Graduate,55-64,Male,392582797,white,0.649403868,carr,kepi,,,
R_1QyFcefRcUSbHAS,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Very familiar,Jobs,Steven Matteo (City Council District 50),No change,Easy,Moderate,Graduate or professional degree,Graduate,65+,Male,392155105,white,1.128864138,carr,,,,
R_vpD0GaKVq6hV2sp,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Not too familiar,Crime,Steven Matteo (City Council District 50),Much more likely,Very easy,Moderate,High school graduate,Less than college,18-34,Female,392489564,hispanic,1.475901352,kepi,carr,pirozzolo,sforza,
R_ZEvaSM7VlAYZj4l,Yes,The Republican party,I will definitely vote,in person on election day,Right direction,Moderately familiar,Something else (please specify),Steven Matteo (City Council District 50),No change,Hard,Moderate,High school graduate,Less than college,55-64,Female,392652223,white,1.020589884,carr,,,,
R_3EmT2JrYjyVf1Hc,Yes,The Republican party,I will definitely vote,in person on election day,Not sure,Moderately familiar,Crime,Steven Matteo (City Council District 50),No change,Easy,Moderate,High school graduate,Less than college,55-64,Female,392511618,white,1.020589884,carr,sforza,pirozzolo,kepi,
