1,2,3,weight
Donald Trump,Ron DeSantis,Nikki Haley,1.340051181
Donald Trump,Ron DeSantis,skipped,0.710130756
Donald Trump,skipped,skipped,3.751850387
Donald Trump,Mike Pence,Ted Cruz,2.532499011
Donald Trump,Ron DeSantis,Nikki Haley,2.532499011
Donald Trump,Ron DeSantis,Ted Cruz,0.868438979
Donald Trump,Mike Pence,Ted Cruz,3.029797347
Donald Trump,Ron DeSantis,Nikki Haley,2.532499011
Donald Trump,skipped,skipped,0.868438979
Donald Trump,Nikki Haley,Mike Pence,0.575139782
Donald Trump,skipped,skipped,2.129450376
Donald Trump,Ted Cruz,skipped,2.129450376
Donald Trump,Ted Cruz,Nikki Haley,1.130258812
Donald Trump,skipped,skipped,1.014104541
Donald Trump,Mike Pence,skipped,1.847444805
Donald Trump,skipped,skipped,1.907650181
Donald Trump,Mike Pence,skipped,1.130258812
Donald Trump,Mike Pence,Nikki Haley,0.49864406
Donald Trump,skipped,skipped,1.847444805
Donald Trump,Ron DeSantis,Ted Cruz,1.064736325
Donald Trump,Ron DeSantis,Ted Cruz,4.488588662
Donald Trump,Nikki Haley,skipped,4.488588662
Donald Trump,Ted Cruz,Mike Pence,0.521122263
Donald Trump,Ted Cruz,Glenn Youngkin,1.064736325
Donald Trump,skipped,skipped,0.59241534
Donald Trump,skipped,skipped,0.480359995
Donald Trump,Ron DeSantis,Ted Cruz,0.762924698
Donald Trump,skipped,skipped,0.966097542
Donald Trump,Ron DeSantis,Glenn Youngkin,0.762924698
Donald Trump,Ron DeSantis,Ted Cruz,1.691051811
Donald Trump,skipped,skipped,3.029797347
Donald Trump,skipped,skipped,0.536359269
Donald Trump,skipped,skipped,0.546773297
Donald Trump,Ron DeSantis,Mike Pence,1.908264036
Donald Trump,Ted Cruz,Ron DeSantis,0.785164042
Donald Trump,Mike Pence,Ted Cruz,1.247025243
Donald Trump,Mike Pence,Ron DeSantis,1.064736325
Donald Trump,Ron DeSantis,Ted Cruz,1.173280141
Donald Trump,Mike Pence,skipped,0.608283638
Donald Trump,Ron DeSantis,skipped,0.710130756
Donald Trump,skipped,skipped,0.521122263
Donald Trump,Ron DeSantis,skipped,0.710130756
Donald Trump,Ron DeSantis,Ted Cruz,0.852058937
Donald Trump,Ron DeSantis,skipped,0.852058937
Donald Trump,Ron DeSantis,Ted Cruz,0.852058937
Donald Trump,Ron DeSantis,skipped,1.26202181
Donald Trump,Ron DeSantis,Ted Cruz,3.154741297
Donald Trump,Ron DeSantis,Ted Cruz,0.636835142
Donald Trump,Mike Pence,skipped,0.852058937
Donald Trump,Ron DeSantis,Ted Cruz,0.636835142
Donald Trump,skipped,skipped,0.301805571
Donald Trump,Ron DeSantis,Nikki Haley,3.154741297
Donald Trump,Ron DeSantis,skipped,3.154741297
Donald Trump,Ron DeSantis,Ted Cruz,0.710130756
Donald Trump,Ron DeSantis,Nikki Haley,0.710130756
Donald Trump,Ron DeSantis,Nikki Haley,1.286576265
Donald Trump,Ron DeSantis,Ted Cruz,1.286576265
Donald Trump,Ron DeSantis,skipped,1.286525405
Donald Trump,Ron DeSantis,Glenn Youngkin,0.636835142
Donald Trump,Ron DeSantis,Mike Pence,3.154741297
Donald Trump,Nikki Haley,Ron DeSantis,0.301805571
Donald Trump,skipped,skipped,0.636835142
Donald Trump,Ron DeSantis,Ted Cruz,0.710130756
Donald Trump,Ron DeSantis,Ted Cruz,1.286576265
Donald Trump,Ron DeSantis,Nikki Haley,0.362125048
Donald Trump,Ron DeSantis,Nikki Haley,3.154741297
Donald Trump,Ron DeSantis,skipped,1.288065883
Donald Trump,Ron DeSantis,Mike Pence,0.710130756
Donald Trump,skipped,skipped,1.286525405
Donald Trump,Mike Pence,Nikki Haley,1.286576265
Donald Trump,Ron DeSantis,Glenn Youngkin,2.532499011
Donald Trump,Ron DeSantis,Ted Cruz,0.47933826
Donald Trump,Ron DeSantis,skipped,0.429863721
Donald Trump,Ron DeSantis,Ted Cruz,0.575139782
Donald Trump,Ted Cruz,Ron DeSantis,0.546794913
Donald Trump,Ron DeSantis,Ted Cruz,1.247025243
Donald Trump,skipped,skipped,0.868438979
Donald Trump,Mike Pence,skipped,0.868438979
Donald Trump,Ron DeSantis,skipped,1.340765051
Donald Trump,Ted Cruz,Mike Pence,2.129450376
Donald Trump,Ron DeSantis,skipped,0.575139782
Donald Trump,skipped,skipped,0.575139782
Donald Trump,Ted Cruz,Nikki Haley,0.429863721
Donald Trump,Ron DeSantis,Ted Cruz,2.532499011
Donald Trump,Mike Pence,Ted Cruz,0.47933826
Donald Trump,Ron DeSantis,Ted Cruz,2.532499011
Donald Trump,skipped,skipped,1.907650181
Donald Trump,Glenn Youngkin,Mike Pence,0.868438979
Donald Trump,Ron DeSantis,Glenn Youngkin,0.762924698
Donald Trump,Ted Cruz,Ron DeSantis,0.47933826
Donald Trump,skipped,skipped,0.967604103
Donald Trump,Ted Cruz,Ron DeSantis,0.47933826
Donald Trump,Ron DeSantis,Ted Cruz,1.036676711
Donald Trump,Ron DeSantis,Ted Cruz,0.869444471
Donald Trump,Ron DeSantis,Ted Cruz,0.575139782
Donald Trump,Ron DeSantis,Nikki Haley,0.868404648
Donald Trump,Ron DeSantis,Ted Cruz,0.868438979
Donald Trump,Ron DeSantis,skipped,0.868438979
Donald Trump,Ron DeSantis,Ted Cruz,0.869444471
Donald Trump,skipped,skipped,0.429863721
Donald Trump,Ted Cruz,skipped,2.129450376
Donald Trump,skipped,skipped,0.868438979
Donald Trump,Ron DeSantis,skipped,1.014104541
Donald Trump,Ron DeSantis,Ted Cruz,2.505261942
Donald Trump,Ron DeSantis,Ted Cruz,4.488588662
