ballotID,1,2,3,4,Gender,Age,Urbanicity,weight
207845XXXX,c1,c2,c3,c4,2,2,3,0.388206469
207442XXXX,c1,c3,c4,c2,1,2,3,0.975928414
207832XXXX,c1,c2,c4,c3,2,2,3,0.388206469
207892XXXX,c1,c3,c2,c4,1,2,2,0.479610184
207725XXXX,c1,c2,c3,c4,2,1,3,1.267896414
207253XXXX,c1,c3,c4,c5,1,2,1,0.24623922
207850XXXX,c1,c4,c3,c2,2,1,3,1.336861503
207549XXXX,c1,c2,c3,c4,1,2,3,1.299533302
207439XXXX,c3,c1,c2,c6,1,2,2,0.28776611
207549XXXX,c3,c4,c1,c6,1,2,3,0.28776611
207594XXXX,c1,c3,c2,c4,1,1,1,0.789114218
207847XXXX,c1,c4,c6,,1,2,2,0.448147756
207498XXXX,c5,c4,c3,c2,1,2,2,1.31080641
207364XXXX,c5,c1,c4,c2,2,2,3,1.464003629
207839XXXX,c1,c3,c2,c4,2,2,3,1.365038349
207583XXXX,c1,c2,c3,c4,1,2,3,0.479610184
207439XXXX,c5,c4,c2,c6,2,2,4,1.464003629
207847XXXX,c5,c3,c4,c2,2,2,3,0.490177886
207729XXXX,c5,c3,c4,c2,1,2,2,1.132199457
207892XXXX,c1,c3,c2,c4,1,2,2,0.440152605
207442XXXX,c1,c2,c3,c4,1,2,3,4.961144077
207885XXXX,c3,c2,c1,c4,1,2,3,1.299533302
207729XXXX,c1,c2,c3,c4,1,2,2,0.383476545
207457XXXX,c5,c2,c3,c4,1,2,3,0.841699321
207725XXXX,c5,c4,c3,c2,1,2,3,0.448147756
207582XXXX,c5,c2,c3,c4,1,2,2,0.440152605
207985XXXX,c5,c2,c3,c4,1,2,3,1.132199457
207453XXXX,c1,c2,c3,c4,1,2,1,2.775465218
207892XXXX,c5,c3,c2,c1,1,1,,0.73717191
207236XXXX,c1,c3,c6,,1,2,1,0.514381922
207282XXXX,c5,c2,c4,c6,2,2,3,0.562623911
207865XXXX,c1,c3,c4,c2,1,2,2,0.479610184
207677XXXX,c2,c3,c4,c5,2,2,,0.957575909
207453XXXX,c5,c4,c3,c2,2,2,2,0.562623911
207284XXXX,c1,c3,c4,c2,2,2,2,1.365038349
207251XXXX,c1,c2,c4,c3,1,2,2,1.132199457
207832XXXX,c1,c4,c2,c6,1,1,3,0.975544247
207351XXXX,c1,c3,c4,c2,1,1,3,1.046271204
