ballotID,rank1,rank2,rank3,rank4,Gender,Age,Urbanicity,weight
207696XXXX,1,3,6,,1,1,3,0.442303146
207234XXXX,4,5,6,,1,2,3,0.514381922
207353XXXX,1,2,3,4,2,2,3,0.524591059
207783XXXX,1,4,3,2,2,2,2,0.89284467
207568XXXX,3,1,4,6,2,2,3,0.416351438
207562XXXX,5,1,6,,2,2,3,1.464003629
207234XXXX,1,3,6,,2,2,3,0.388206469
207763XXXX,3,1,6,,1,2,3,1.299533302
207374XXXX,1,3,6,,2,2,3,0.416351438
207659XXXX,1,4,2,3,1,2,1,0.24623922
207696XXXX,1,2,3,6,1,2,3,0.514381922
207234XXXX,3,1,6,,1,2,3,0.479610184
207403XXXX,1,4,3,2,2,2,3,0.524591059
207728XXXX,1,2,3,4,1,2,2,0.440152605
207288XXXX,1,2,3,4,2,2,2,0.819023009
207276XXXX,1,5,6,,2,2,3,0.524591059
207897XXXX,1,5,6,,2,2,2,0.388206469
207537XXXX,1,3,4,2,2,2,3,0.388206469
207278XXXX,1,2,3,4,1,2,3,0.440152605
207926XXXX,5,3,6,,1,2,4,0.24623922
207998XXXX,1,2,3,4,1,2,3,0.448147756
207465XXXX,1,2,3,4,2,2,2,0.814063197
207858XXXX,1,2,3,6,2,2,3,0.416351438
207588XXXX,5,4,2,1,2,2,3,0.314754635
207895XXXX,1,3,2,4,1,2,3,1.402832202
207364XXXX,1,4,2,3,1,2,2,0.448147756
207864XXXX,5,3,2,4,1,1,3,1.14408453
207562XXXX,5,3,2,4,1,2,3,2.775465218
207472XXXX,1,3,2,5,1,2,1,0.626666362
207667XXXX,5,4,3,2,1,2,3,0.440152605
207924XXXX,1,2,3,4,1,2,3,1.31080641
207990XXXX,1,4,3,2,1,2,2,1.211686063
207367XXXX,1,2,3,6,1,2,3,0.383476545
207288XXXX,5,3,4,2,2,2,3,0.416351438
207444XXXX,5,4,1,2,1,2,3,4.322324499
207483XXXX,1,3,2,4,2,2,3,0.388206469
207588XXXX,5,2,4,3,2,2,4,0.314754635
207497XXXX,5,2,4,3,2,2,3,0.362740125
207897XXXX,5,2,4,3,1,1,1,1.237034968
207453XXXX,5,3,2,4,1,2,2,1.299533302
207965XXXX,5,4,2,1,2,1,2,1.164721108
207547XXXX,1,3,2,6,1,2,3,0.479610184
207652XXXX,1,2,4,3,1,2,3,0.514381922
207897XXXX,1,2,3,4,2,2,3,0.535706802
207492XXXX,1,4,2,3,2,2,3,0.957575909
207244XXXX,1,3,2,4,2,2,3,0.388206469
207743XXXX,1,2,3,4,2,2,,1.365038349
207547XXXX,1,4,3,2,2,2,3,0.388206469
207827XXXX,1,4,3,2,2,2,3,0.89284467
207524XXXX,1,3,6,,2,2,3,0.388206469
207543XXXX,1,2,3,4,2,2,3,2.078912965
207325XXXX,1,2,3,4,1,2,3,1.402832202
207454XXXX,5,2,3,4,1,2,,1.402832202
207422XXXX,5,1,2,4,1,2,3,0.514381922
207683XXXX,1,4,6,,1,2,3,0.410398699
207546XXXX,5,3,2,4,1,2,1,0.440152605
207338XXXX,1,3,2,4,2,2,3,0.314754635
207827XXXX,1,3,2,4,2,2,3,0.388206469
207794XXXX,1,3,4,2,2,2,3,2.078912965
207657XXXX,1,2,3,4,2,2,2,0.524591059
207726XXXX,1,3,2,6,2,2,3,0.388206469
207548XXXX,1,2,3,4,2,2,3,0.388206469
207288XXXX,5,2,3,1,2,2,3,0.490177886
207564XXXX,1,4,6,,1,2,3,0.514381922
207278XXXX,1,2,3,4,1,2,3,0.448147756
207784XXXX,1,3,6,,1,2,2,0.479610184
207763XXXX,1,3,6,,1,2,3,0.410398699
207453XXXX,1,3,2,4,1,2,,0.440152605
207782XXXX,1,5,6,,1,2,2,1.044443936
207782XXXX,1,4,5,6,2,2,1,0.535706802
207768XXXX,1,3,4,2,2,1,2,0.658539292
207532XXXX,1,3,2,4,2,2,3,0.388206469
207778XXXX,1,4,2,3,1,2,3,0.440152605
207455XXXX,1,3,2,4,1,2,3,1.211686063
207938XXXX,1,4,5,2,1,2,3,0.410398699
207537XXXX,1,2,3,4,2,2,3,0.562623911
207582XXXX,1,2,3,4,2,1,1,0.854417484
207737XXXX,5,3,4,2,2,2,3,0.562623911
207942XXXX,1,2,3,4,1,2,2,0.514381922
207495XXXX,1,5,6,,1,2,3,0.479610184
207398XXXX,1,2,3,4,1,2,3,1.402832202
207825XXXX,4,5,1,6,1,2,2,0.514381922
207521XXXX,1,2,3,4,2,2,3,0.416351438
207342XXXX,1,5,6,,2,2,3,1.365038349
207338XXXX,1,2,6,,1,2,2,1.402832202
207933XXXX,1,6,,,2,2,,0.524591059
207723XXXX,1,6,,,1,2,3,1.402832202
207333XXXX,1,6,,,1,2,1,1.31080641
207938XXXX,5,6,,,2,2,,0.362740125
207474XXXX,1,2,3,6,1,2,3,1.299533302
207244XXXX,5,6,,,1,2,3,0.626666362
207338XXXX,1,6,,,2,2,1,0.388206469
207934XXXX,1,6,,,2,1,1,0.760737848
207733XXXX,1,6,,,2,2,3,0.562623911
207353XXXX,1,6,,,2,2,2,0.416351438
207897XXXX,1,6,,,2,2,2,0.524591059
207244XXXX,1,6,,,1,2,3,1.211686063
207568XXXX,1,6,,,2,2,3,0.524591059
207255XXXX,1,6,,,2,2,3,0.388206469
207326XXXX,1,6,,,1,2,3,0.479610184
207643XXXX,1,6,,,1,2,3,1.211686063
207783XXXX,1,6,,,1,2,2,0.479610184
207546XXXX,1,6,,,2,2,3,0.416351438
207262XXXX,1,6,,,1,2,3,1.31080641
207667XXXX,1,6,,,2,2,1,1.275491833
207364XXXX,1,6,,,1,2,,0.440152605
207524XXXX,1,6,,,1,2,3,0.410398699
207942XXXX,1,6,,,1,2,1,0.479610184
207375XXXX,1,6,,,2,2,4,1.247347779
207784XXXX,5,6,,,1,2,1,0.440152605
207285XXXX,5,6,,,1,2,3,0.448147756
207853XXXX,5,4,3,6,2,2,3,0.490177886
207938XXXX,5,6,,,2,2,3,0.362740125
207853XXXX,5,6,,,1,2,3,1.299533302
207288XXXX,1,6,,,2,2,3,0.524591059
207757XXXX,5,6,,,1,2,3,0.383476545
207683XXXX,1,6,,,2,2,3,0.524591059
207853XXXX,1,6,,,2,2,3,0.89284467
207946XXXX,1,6,,,2,2,2,0.562623911
207853XXXX,1,6,,,1,1,3,1.410541665
207359XXXX,1,6,,,1,2,3,0.514381922
207667XXXX,1,6,,,1,2,2,0.410398699
207728XXXX,1,6,,,1,2,3,0.410398699
207866XXXX,1,6,,,1,2,,0.479610184
207398XXXX,1,6,,,1,2,3,4.625775363
207732XXXX,1,6,,,2,2,3,0.388206469
207930XXXX,1,6,,,2,2,4,0.388206469
207353XXXX,1,6,,,2,2,2,0.488437918
207853XXXX,1,6,,,2,2,3,0.314754635
207548XXXX,1,6,,,2,1,1,1.67508401
207524XXXX,1,6,,,1,2,3,0.479610184
207695XXXX,1,6,,,1,2,3,1.402832202
207824XXXX,1,6,,,1,2,3,0.626666362
207218XXXX,1,6,,,2,2,1,0.314754635
207532XXXX,1,6,,,2,2,3,0.524591059
207866XXXX,1,6,,,2,2,2,0.388206469
207524XXXX,1,6,,,2,2,3,0.524591059
207348XXXX,1,6,,,2,2,3,0.362740125
207947XXXX,1,6,,,1,2,1,0.479610184
207967XXXX,5,6,,,1,2,2,0.383476545
207696XXXX,1,6,,,2,2,3,0.388206469
207998XXXX,5,6,,,2,2,3,0.562623911
207938XXXX,1,6,,,1,2,2,0.841699321
207463XXXX,1,6,,,2,2,3,0.388206469
207674XXXX,1,6,,,2,2,3,1.365038349
207942XXXX,1,6,,,2,2,1,1.365038349
207990XXXX,1,6,,,2,2,4,1.247347779
207532XXXX,5,6,,,2,1,2,1.184722409
207364XXXX,1,6,,,1,2,3,0.448147756
207786XXXX,1,6,,,1,2,1,0.479610184
207897XXXX,5,6,,,2,2,3,1.365038349
207854XXXX,1,6,,,2,2,2,1.365038349
207733XXXX,1,6,,,2,2,1,0.388206469
207942XXXX,1,6,,,2,2,1,0.819023009
207345XXXX,5,6,,,2,2,3,0.362740125
207945XXXX,1,6,,,2,2,2,0.524591059
207562XXXX,1,6,,,2,2,3,0.524591059
207454XXXX,5,6,,,2,2,3,0.490177886
207884XXXX,1,6,,,2,2,2,0.89284467
207946XXXX,5,6,,,1,1,3,1.237034968
207853XXXX,1,6,,,1,2,2,0.410398699
207437XXXX,5,6,,,1,1,3,1.926475791
207234XXXX,1,6,,,1,2,3,1.402832202
207943XXXX,5,6,,,1,2,3,4.625775363
207933XXXX,1,6,,,1,2,3,4.625775363
207933XXXX,5,6,,,1,2,3,0.448147756
207866XXXX,5,6,,,1,2,4,0.514381922
207454XXXX,1,6,,,2,2,3,0.388206469
207622XXXX,1,6,,,2,2,1,0.819023009
207537XXXX,1,6,,,2,2,3,0.314754635
207696XXXX,1,6,,,2,2,,1.365038349
207783XXXX,1,6,,,2,2,1,0.388206469
207439XXXX,1,6,,,2,2,3,0.388206469
207865XXXX,1,6,,,2,2,2,0.388206469
207942XXXX,1,6,,,1,2,1,1.402832202
207997XXXX,1,6,,,1,2,3,4.625775363
207989XXXX,1,6,,,1,2,2,0.479610184
207568XXXX,1,6,,,1,2,3,1.299533302
207597XXXX,5,6,,,1,1,3,0.442303146
207824XXXX,5,6,,,2,1,3,1.184722409
207726XXXX,5,6,,,1,1,3,2.407774486
207795XXXX,5,6,,,2,2,2,0.232923882
207827XXXX,1,6,,,2,2,3,1.365038349
207367XXXX,1,6,,,2,2,3,0.819023009
207448XXXX,1,6,,,2,2,3,0.562623911
207764XXXX,1,6,,,1,2,1,0.479610184
207853XXXX,1,6,,,2,2,2,0.524591059
207225XXXX,5,6,,,2,2,3,0.490177886
207743XXXX,1,6,,,2,2,3,0.524591059
207406XXXX,5,6,,,1,2,3,0.383476545
207225XXXX,1,6,,,1,2,2,0.514381922
207473XXXX,5,6,,,1,2,3,0.383476545
